EventID,Start Date,End Date,Peak Flood Level (m),Peak FL Date,Num Peak FL,Peak Discharge Q (cumec),Peak Discharge Date,Flood Volume (cumec),Event Duration (days),Time to Peak (days),Recession Time (day),Flood Type
INDOFLOODS-gauge-361-46,02-11-1986,09-11-1986,583.11,05-11-1986,1,164.2,03-11-1986,957.2,8,4,5,Severe Flood
INDOFLOODS-gauge-361-47,25-06-1987,26-06-1987,583.01,26-06-1987,1,136.8,26-06-1987,271.3,2,2,1,Severe Flood
INDOFLOODS-gauge-361-48,24-09-1987,25-09-1987,582.9,25-09-1987,1,131.9,25-09-1987,216.75,2,2,1,Severe Flood
INDOFLOODS-gauge-361-49,03-10-1987,03-10-1987,582.36,03-10-1987,1,64.85,03-10-1987,64.85,1,1,1,Flood
INDOFLOODS-gauge-361-50,07-10-1987,07-10-1987,582.46,07-10-1987,1,77.84,07-10-1987,77.84,1,1,1,Flood
INDOFLOODS-gauge-361-51,09-10-1987,15-10-1987,584.01,09-10-1987,1,415,09-10-1987,1169.6,7,1,7,Severe Flood
INDOFLOODS-gauge-361-52,20-10-1987,20-10-1987,582.26,20-10-1987,1,56,20-10-1987,56,1,1,1,Flood
INDOFLOODS-gauge-361-53,22-10-1987,24-10-1987,583.45,22-10-1987,1,243.1,22-10-1987,395.54,3,1,3,Severe Flood
INDOFLOODS-gauge-361-54,08-11-1987,08-11-1987,583.33,08-11-1987,1,223.5,08-11-1987,223.5,1,1,1,Severe Flood
INDOFLOODS-gauge-361-55,21-11-1987,24-11-1987,583.54,21-11-1987,1,273.9,22-11-1987,757.5,4,1,4,Severe Flood
INDOFLOODS-gauge-361-56,10-12-1987,10-12-1987,582.38,10-12-1987,1,78.92,10-12-1987,78.92,1,1,1,Flood
INDOFLOODS-gauge-361-57,15-12-1987,16-12-1987,582.62,15-12-1987,1,106.2,15-12-1987,192.82,2,1,2,Severe Flood
INDOFLOODS-gauge-361-58,15-08-1988,19-08-1988,582.97,15-08-1988,1,143.5,15-08-1988,470.79,5,1,5,Severe Flood
INDOFLOODS-gauge-361-59,26-08-1988,03-09-1988,584.2,30-08-1988,1,473.6,30-08-1988,2324.1,9,5,5,Severe Flood
INDOFLOODS-gauge-361-60,08-09-1988,23-09-1988,585.22,15-09-1988,1,971.2,15-09-1988,7277.04,16,8,9,Severe Flood
INDOFLOODS-gauge-361-61,27-09-1988,30-09-1988,584.25,27-09-1988,1,491.3,27-09-1988,822.65,4,1,4,Severe Flood
INDOFLOODS-gauge-361-62,07-10-1988,10-10-1988,582.54,08-10-1988,1,85.49,07-10-1988,327.99,4,2,3,Severe Flood
INDOFLOODS-gauge-361-63,20-09-1989,27-09-1989,582.88,21-09-1989,1,140.2,21-09-1989,861.2,8,2,7,Severe Flood
INDOFLOODS-gauge-361-64,07-10-1989,10-10-1989,582.88,09-10-1989,1,143.5,09-10-1989,455.6,4,3,2,Severe Flood
INDOFLOODS-gauge-361-65,20-10-1989,23-10-1989,584.21,21-10-1989,1,482.2,21-10-1989,896.9,4,2,3,Severe Flood
INDOFLOODS-gauge-361-66,31-10-1989,31-10-1989,582.27,31-10-1989,1,69.68,31-10-1989,69.68,1,1,1,Flood
INDOFLOODS-gauge-361-67,25-10-1990,25-10-1990,582.31,25-10-1990,1,76.5,25-10-1990,76.5,1,1,1,Flood
INDOFLOODS-gauge-361-68,04-06-1991,07-06-1991,583.29,05-06-1991,1,206.4,04-06-1991,593.95,4,2,3,Severe Flood
INDOFLOODS-gauge-361-69,14-09-1991,18-09-1991,583.53,14-09-1991,1,271.5,14-09-1991,790.86,5,1,5,Severe Flood
INDOFLOODS-gauge-361-70,09-10-1991,13-10-1991,583.08,11-10-1991,1,168.5,11-10-1991,473.85,5,3,3,Severe Flood
INDOFLOODS-gauge-361-71,30-10-1991,08-11-1991,584.54,30-10-1991,1,515.4,30-10-1991,1897.17,10,1,10,Severe Flood
INDOFLOODS-gauge-361-72,10-11-1991,12-11-1991,582.69,11-11-1991,1,107.1,11-11-1991,262.82,3,2,2,Severe Flood
INDOFLOODS-gauge-361-73,16-11-1991,20-11-1991,583.12,17-11-1991,1,173.8,17-11-1991,498.22,5,2,4,Severe Flood
INDOFLOODS-gauge-361-74,09-07-1992,09-07-1992,582.27,09-07-1992,1,63.16,09-07-1992,63.16,1,1,1,Flood
INDOFLOODS-gauge-361-75,19-09-1992,22-09-1992,582.69,21-09-1992,1,110.3,21-09-1992,378.76,4,3,2,Severe Flood
INDOFLOODS-gauge-361-76,29-09-1992,02-10-1992,583.2,30-09-1992,1,188.3,30-09-1992,458.94,4,2,3,Severe Flood
INDOFLOODS-gauge-361-77,06-10-1992,11-10-1992,583.32,06-10-1992,1,222,06-10-1992,831.83,6,1,6,Severe Flood
INDOFLOODS-gauge-361-78,16-10-1992,21-10-1992,583.08,19-10-1992,1,168.8,19-10-1992,743.65,6,4,3,Severe Flood
INDOFLOODS-gauge-361-79,07-06-1993,07-06-1993,582.27,07-06-1993,1,63.03,07-06-1993,63.03,1,1,1,Flood
INDOFLOODS-gauge-361-80,29-08-1993,30-08-1993,582.41,29-08-1993,1,79.31,29-08-1993,145.38,2,1,2,Flood
INDOFLOODS-gauge-361-81,02-09-1993,07-09-1993,582.75,05-09-1993,1,119.9,05-09-1993,585.35,6,4,3,Severe Flood
INDOFLOODS-gauge-361-82,08-10-1993,11-10-1993,583.59,08-10-1993,1,256.1,08-10-1993,754.08,4,1,4,Severe Flood
INDOFLOODS-gauge-361-83,13-10-1993,18-10-1993,583.14,14-10-1993,1,176.4,14-10-1993,807.22,6,2,5,Severe Flood
INDOFLOODS-gauge-361-84,24-10-1993,25-10-1993,582.37,24-10-1993,1,75.44,24-10-1993,147.15,2,1,2,Flood
INDOFLOODS-gauge-361-85,06-12-1993,06-12-1993,582.37,06-12-1993,1,79.92,06-12-1993,79.92,1,1,1,Flood
INDOFLOODS-gauge-361-86,19-01-1994,19-01-1994,582.43,19-01-1994,1,87.01,19-01-1994,87.01,1,1,1,Flood
INDOFLOODS-gauge-361-87,29-09-1994,29-09-1994,582.35,29-09-1994,1,61,29-09-1994,61,1,1,1,Flood
INDOFLOODS-gauge-361-88,02-10-1994,06-10-1994,582.91,02-10-1994,1,125,02-10-1994,462.18,5,1,5,Severe Flood
INDOFLOODS-gauge-361-89,12-10-1994,18-10-1994,583.42,13-10-1994,1,207.4,13-10-1994,692.18,7,2,6,Severe Flood
INDOFLOODS-gauge-361-90,20-10-1994,21-10-1994,582.44,20-10-1994,1,68.5,20-10-1994,134.98,2,1,2,Flood
INDOFLOODS-gauge-361-91,26-10-1994,31-10-1994,583.19,28-10-1994,1,172.2,28-10-1994,656.05,6,3,4,Severe Flood
INDOFLOODS-gauge-361-92,07-11-1994,07-11-1994,582.38,07-11-1994,1,65.54,07-11-1994,65.54,1,1,1,Flood
INDOFLOODS-gauge-361-93,28-07-1995,31-07-1995,582.58,28-07-1995,1,83,28-07-1995,271,4,1,4,Severe Flood
INDOFLOODS-gauge-361-94,23-08-1995,23-08-1995,582.45,23-08-1995,1,66.85,23-08-1995,66.85,1,1,1,Flood
INDOFLOODS-gauge-361-95,22-09-1995,24-09-1995,582.89,22-09-1995,1,104.9,22-09-1995,242.49,3,1,3,Severe Flood
INDOFLOODS-gauge-361-96,01-10-1995,06-10-1995,583.16,02-10-1995,1,151,02-10-1995,670.73,6,2,5,Severe Flood
INDOFLOODS-gauge-361-97,19-08-1996,19-08-1996,582.63,19-08-1996,1,84.21,19-08-1996,84.21,1,1,1,Severe Flood
INDOFLOODS-gauge-361-98,22-08-1996,26-08-1996,583.9,24-08-1996,1,413.7,24-08-1996,838.62,5,3,3,Severe Flood
INDOFLOODS-gauge-361-99,03-09-1996,15-09-1996,584.28,06-09-1996,1,553.4,06-09-1996,2024.26,13,4,10,Severe Flood
INDOFLOODS-gauge-361-100,22-09-1996,04-10-1996,584.44,26-09-1996,1,691.5,26-09-1996,2541.4,13,5,9,Severe Flood
INDOFLOODS-gauge-361-101,11-10-1996,23-10-1996,585.07,19-10-1996,1,929.1,19-10-1996,3959.11,13,9,5,Severe Flood
INDOFLOODS-gauge-361-102,10-12-1996,12-12-1996,582.43,10-12-1996,2,61.38,10-12-1996,178.27,3,1,3,Flood
INDOFLOODS-gauge-361-103,14-09-1997,20-09-1997,583.79,17-09-1997,1,348.7,17-09-1997,1381.29,7,4,4,Severe Flood
INDOFLOODS-gauge-361-104,02-10-1997,05-10-1997,583.74,03-10-1997,1,335.1,03-10-1997,795.3,4,2,3,Severe Flood
INDOFLOODS-gauge-361-105,10-10-1997,10-10-1997,582.36,10-10-1997,1,77.08,10-10-1997,77.08,1,1,1,Flood
INDOFLOODS-gauge-361-106,25-10-1997,27-10-1997,582.95,25-10-1997,2,203.3,25-10-1997,468,3,1,3,Severe Flood
INDOFLOODS-gauge-361-107,31-10-1997,05-11-1997,582.95,01-11-1997,1,181.9,01-11-1997,674.43,6,2,5,Severe Flood
INDOFLOODS-gauge-361-108,12-11-1997,12-11-1997,582.47,12-11-1997,1,90.71,12-11-1997,90.71,1,1,1,Flood
INDOFLOODS-gauge-361-109,26-11-1997,29-11-1997,583.96,28-11-1997,1,398,28-11-1997,1162,4,3,2,Severe Flood
INDOFLOODS-gauge-361-110,10-12-1997,11-12-1997,582.93,10-12-1997,1,189,10-12-1997,270,2,1,2,Severe Flood
INDOFLOODS-gauge-361-111,19-07-1998,20-07-1998,583.2,19-07-1998,1,240,19-07-1998,441.2,2,1,2,Severe Flood
INDOFLOODS-gauge-361-112,17-08-1998,23-08-1998,583.18,19-08-1998,1,240,20-08-1998,1157.1,7,3,5,Severe Flood
INDOFLOODS-gauge-361-113,25-08-1998,26-08-1998,582.86,25-08-1998,1,176.2,25-08-1998,288.4,2,1,2,Severe Flood
INDOFLOODS-gauge-361-114,04-09-1998,05-09-1998,582.3,04-09-1998,1,88.91,04-09-1998,172.9,2,1,2,Flood
INDOFLOODS-gauge-361-115,24-09-1998,01-10-1998,584.56,25-09-1998,1,525,25-09-1998,1966.1,8,2,7,Severe Flood
INDOFLOODS-gauge-361-116,04-10-1998,07-10-1998,582.88,04-10-1998,1,180,04-10-1998,568.4,4,1,4,Severe Flood
INDOFLOODS-gauge-361-117,10-10-1998,16-10-1998,583.16,12-10-1998,1,208.8,12-10-1998,869.84,7,3,5,Severe Flood
INDOFLOODS-gauge-361-118,26-10-1998,26-10-1998,583.01,26-10-1998,1,202.5,26-10-1998,202.5,1,1,1,Severe Flood
INDOFLOODS-gauge-361-119,02-11-1998,04-11-1998,583.15,02-11-1998,1,205,02-11-1998,401.4,3,1,3,Severe Flood
INDOFLOODS-gauge-361-120,08-11-1998,11-11-1998,582.77,10-11-1998,1,172.8,10-11-1998,575.5,4,3,2,Severe Flood
INDOFLOODS-gauge-361-121,01-10-1999,05-10-1999,583.3,03-10-1999,1,234,03-10-1999,752.49,5,3,3,Severe Flood
INDOFLOODS-gauge-361-122,14-10-1999,14-10-1999,582.86,14-10-1999,1,170,14-10-1999,170,1,1,1,Severe Flood
INDOFLOODS-gauge-361-123,16-10-1999,18-10-1999,583.04,16-10-1999,1,208.7,16-10-1999,503.7,3,1,3,Severe Flood
INDOFLOODS-gauge-361-124,24-10-1999,31-10-1999,585.28,26-10-1999,1,548.2,26-10-1999,2207.3,8,3,6,Severe Flood
INDOFLOODS-gauge-361-125,21-11-1999,25-11-1999,584.14,23-11-1999,1,367,23-11-1999,883.56,5,3,3,Severe Flood
INDOFLOODS-gauge-361-126,04-08-2000,07-08-2000,583.28,04-08-2000,1,228.29,04-08-2000,691.38,4,1,4,Severe Flood
INDOFLOODS-gauge-361-127,15-09-2000,24-09-2000,584.15,19-09-2000,1,356.5,19-09-2000,1693.43,10,5,6,Severe Flood
INDOFLOODS-gauge-361-128,30-09-2000,01-11-2000,585.66,09-10-2000,1,558.8,09-10-2000,8721.3,33,10,24,Severe Flood
INDOFLOODS-gauge-361-129,19-09-2001,19-09-2001,583.09,19-09-2001,1,187.21,19-09-2001,187.21,1,1,1,Severe Flood
INDOFLOODS-gauge-361-130,26-09-2001,27-09-2001,582.7,26-09-2001,1,146.13,26-09-2001,263.97,2,1,2,Severe Flood
INDOFLOODS-gauge-361-131,29-09-2001,29-09-2001,582.46,29-09-2001,1,112.04,29-09-2001,112.04,1,1,1,Flood
INDOFLOODS-gauge-361-132,02-10-2001,02-10-2001,582.34,02-10-2001,1,103.8,02-10-2001,103.8,1,1,1,Flood
INDOFLOODS-gauge-361-133,13-10-2001,18-10-2001,583.3,15-10-2001,1,227.98,15-10-2001,963.71,6,3,4,Severe Flood
INDOFLOODS-gauge-361-134,26-10-2001,28-10-2001,584.6,26-10-2001,1,432.6,26-10-2001,724.83,3,1,3,Severe Flood
INDOFLOODS-gauge-361-135,07-11-2001,09-11-2001,582.92,09-11-2001,1,168.13,09-11-2001,464.38,3,3,1,Severe Flood
INDOFLOODS-gauge-361-136,11-10-2002,11-10-2002,582.63,11-10-2002,1,139,11-10-2002,139,1,1,1,Severe Flood
INDOFLOODS-gauge-361-137,31-10-2002,31-10-2002,582.51,31-10-2002,1,112.08,31-10-2002,112.08,1,1,1,Severe Flood
INDOFLOODS-gauge-361-138,02-10-2003,02-10-2003,582.31,02-10-2003,1,118.3,02-10-2003,118.3,1,1,1,Flood
INDOFLOODS-gauge-361-139,21-10-2003,22-10-2003,582.8,21-10-2003,1,173.4,21-10-2003,340.72,2,1,2,Severe Flood
INDOFLOODS-gauge-361-140,12-07-2004,12-07-2004,582.88,12-07-2004,1,170.67,12-07-2004,170.67,1,1,1,Severe Flood
INDOFLOODS-gauge-361-141,05-09-2004,05-09-2004,582.31,05-09-2004,1,94.18,05-09-2004,94.18,1,1,1,Flood
INDOFLOODS-gauge-361-142,07-09-2004,08-09-2004,582.98,07-09-2004,1,170.94,08-09-2004,341.54,2,1,2,Severe Flood
INDOFLOODS-gauge-361-143,16-09-2004,17-09-2004,583.52,16-09-2004,1,217.01,16-09-2004,374.72,2,1,2,Severe Flood
INDOFLOODS-gauge-361-144,03-10-2004,04-10-2004,583.02,04-10-2004,1,161.18,04-10-2004,300.68,2,2,1,Severe Flood
INDOFLOODS-gauge-361-145,15-10-2004,18-10-2004,583.76,16-10-2004,1,277.5,16-10-2004,760.41,4,2,3,Severe Flood
INDOFLOODS-gauge-361-146,24-08-2005,05-09-2005,583.62,25-08-2005,1,224.6,25-08-2005,2318.93,13,2,12,Severe Flood
INDOFLOODS-gauge-361-147,14-10-2005,29-10-2005,585.15,24-10-2005,1,492.1,24-10-2005,3963.27,16,11,6,Severe Flood
INDOFLOODS-gauge-361-148,03-11-2005,05-11-2005,583.55,04-11-2005,1,260.4,04-11-2005,696.12,3,2,2,Severe Flood
INDOFLOODS-gauge-361-149,10-10-2006,10-10-2006,582.74,10-10-2006,1,161.7,10-10-2006,161.7,1,1,1,Severe Flood
INDOFLOODS-gauge-361-150,04-11-2006,05-11-2006,582.5,05-11-2006,1,127.7,05-11-2006,226.36,2,2,1,Severe Flood
INDOFLOODS-gauge-361-151,07-11-2006,08-11-2006,583.08,07-11-2006,1,247.55,07-11-2006,406.25,2,1,2,Severe Flood
INDOFLOODS-gauge-361-152,25-08-2007,27-08-2007,582.99,25-08-2007,1,206.11,25-08-2007,525.21,3,1,3,Severe Flood
INDOFLOODS-gauge-361-153,11-09-2007,11-09-2007,582.5,11-09-2007,1,97.17,11-09-2007,97.17,1,1,1,Severe Flood
INDOFLOODS-gauge-361-154,16-09-2007,19-09-2007,583.02,18-09-2007,1,121.87,18-09-2007,391.13,4,3,2,Severe Flood
INDOFLOODS-gauge-361-155,20-10-2007,26-10-2007,583.34,21-10-2007,1,167.5,21-10-2007,837.2,7,2,6,Severe Flood
INDOFLOODS-gauge-361-156,28-10-2007,29-10-2007,582.64,29-10-2007,1,108,29-10-2007,213.6,2,2,1,Severe Flood
INDOFLOODS-gauge-361-157,05-11-2007,08-11-2007,582.63,07-11-2007,1,102.06,07-11-2007,362.2,4,3,2,Severe Flood
INDOFLOODS-gauge-361-158,16-03-2008,18-03-2008,582.82,16-03-2008,1,36.58,16-03-2008,89.4,3,1,3,Severe Flood
INDOFLOODS-gauge-361-159,06-06-2008,06-06-2008,582.39,06-06-2008,1,82.01,06-06-2008,82.01,1,1,1,Flood
INDOFLOODS-gauge-361-160,28-08-2008,31-08-2008,583.74,31-08-2008,1,277,31-08-2008,843.98,4,4,1,Severe Flood
INDOFLOODS-gauge-361-161,04-09-2008,05-09-2008,583.36,05-09-2008,1,210.6,05-09-2008,396.2,2,2,1,Severe Flood
INDOFLOODS-gauge-361-162,08-09-2008,10-09-2008,583.07,09-09-2008,1,178.75,09-09-2008,412.73,3,2,2,Severe Flood
INDOFLOODS-gauge-361-163,16-10-2008,20-10-2008,582.73,18-10-2008,1,94.54,18-10-2008,422.74,5,3,3,Severe Flood
INDOFLOODS-gauge-361-164,23-10-2008,29-10-2008,583.45,25-10-2008,1,224.74,25-10-2008,967.69,7,3,5,Severe Flood
INDOFLOODS-gauge-361-165,30-11-2008,30-11-2008,582.28,30-11-2008,1,75.17,30-11-2008,75.17,1,1,1,Flood
INDOFLOODS-gauge-361-166,02-12-2008,02-12-2008,582.29,02-12-2008,1,73.2,02-12-2008,73.2,1,1,1,Flood
INDOFLOODS-gauge-361-167,11-12-2008,11-12-2008,582.38,11-12-2008,1,77.38,11-12-2008,77.38,1,1,1,Flood
INDOFLOODS-gauge-361-168,19-08-2009,19-08-2009,582.92,19-08-2009,1,227.5,19-08-2009,227.5,1,1,1,Severe Flood
INDOFLOODS-gauge-361-169,13-09-2009,15-09-2009,583.7,15-09-2009,1,439.6,15-09-2009,959.3,3,3,1,Severe Flood
INDOFLOODS-gauge-361-170,17-09-2009,28-09-2009,585.08,20-09-2009,1,946.2,20-09-2009,5041.03,12,4,9,Severe Flood
INDOFLOODS-gauge-361-171,14-10-2009,16-10-2009,582.87,14-10-2009,1,215.9,14-10-2009,582.27,3,1,3,Severe Flood
INDOFLOODS-gauge-361-172,04-06-2010,05-06-2010,582.75,04-06-2010,1,110.56,04-06-2010,172.5,2,1,2,Severe Flood
INDOFLOODS-gauge-361-173,08-06-2010,08-06-2010,582.3,08-06-2010,1,70.84,08-06-2010,70.84,1,1,1,Flood
INDOFLOODS-gauge-361-174,13-07-2010,14-07-2010,582.4,13-07-2010,1,95.19,13-07-2010,182.47,2,1,2,Flood
INDOFLOODS-gauge-361-175,25-08-2010,25-08-2010,582.39,25-08-2010,1,81.94,25-08-2010,81.94,1,1,1,Flood
INDOFLOODS-gauge-361-176,29-08-2010,29-08-2010,582.53,29-08-2010,1,107.7,29-08-2010,107.7,1,1,1,Severe Flood
INDOFLOODS-gauge-361-177,14-09-2010,15-09-2010,582.49,14-09-2010,1,96.19,14-09-2010,176.53,2,1,2,Flood
INDOFLOODS-gauge-361-178,24-09-2010,27-09-2010,583.01,25-09-2010,1,150.69,25-09-2010,414.06,4,2,3,Severe Flood
INDOFLOODS-gauge-361-179,04-10-2010,08-10-2010,583,05-10-2010,1,187.66,05-10-2010,676.11,5,2,4,Severe Flood
INDOFLOODS-gauge-361-180,10-10-2010,10-10-2010,582.38,10-10-2010,1,88.47,10-10-2010,88.47,1,1,1,Flood
INDOFLOODS-gauge-361-181,03-11-2010,13-11-2010,583.55,08-11-2010,1,299.99,08-11-2010,2153.17,11,6,6,Severe Flood
INDOFLOODS-gauge-361-182,15-11-2010,15-11-2010,582.54,15-11-2010,1,123.08,15-11-2010,123.08,1,1,1,Severe Flood
INDOFLOODS-gauge-361-183,17-11-2010,21-11-2010,582.91,17-11-2010,1,166,17-11-2010,631.52,5,1,5,Severe Flood
INDOFLOODS-gauge-361-184,23-04-2011,24-04-2011,582.99,23-04-2011,1,184.42,23-04-2011,362.32,2,1,2,Severe Flood
INDOFLOODS-gauge-361-185,26-05-2011,26-05-2011,582.36,26-05-2011,1,98.55,26-05-2011,98.55,1,1,1,Flood
INDOFLOODS-gauge-361-186,19-08-2011,19-08-2011,582.55,19-08-2011,1,113.59,19-08-2011,113.59,1,1,1,Severe Flood
INDOFLOODS-gauge-361-187,02-10-2011,03-10-2011,582.35,02-10-2011,1,93.29,03-10-2011,183.54,2,1,2,Flood
INDOFLOODS-gauge-361-188,11-10-2011,11-10-2011,582.46,11-10-2011,1,100.72,11-10-2011,100.72,1,1,1,Flood
INDOFLOODS-gauge-361-189,14-10-2011,17-10-2011,583.09,14-10-2011,1,191.7,14-10-2011,516.81,4,1,4,Severe Flood
INDOFLOODS-gauge-361-190,27-10-2011,27-10-2011,582.51,27-10-2011,1,108.7,27-10-2011,108.7,1,1,1,Severe Flood
INDOFLOODS-gauge-361-191,03-11-2011,07-11-2011,583.41,04-11-2011,1,243.3,04-11-2011,647,5,2,4,Severe Flood
INDOFLOODS-gauge-361-192,30-11-2011,30-11-2011,582.56,30-11-2011,1,114.7,30-11-2011,114.7,1,1,1,Severe Flood
INDOFLOODS-gauge-361-193,17-10-2012,17-10-2012,582.46,17-10-2012,1,107.6,17-10-2012,107.6,1,1,1,Flood
INDOFLOODS-gauge-361-194,02-11-2012,03-11-2012,582.82,02-11-2012,1,158.3,02-11-2012,241.66,2,1,2,Severe Flood
INDOFLOODS-gauge-361-195,04-09-2013,05-09-2013,583.14,04-09-2013,1,149.21,04-09-2013,219.09,2,1,2,Severe Flood
INDOFLOODS-gauge-361-196,07-09-2013,07-09-2013,582.73,07-09-2013,1,109.82,07-09-2013,109.82,1,1,1,Severe Flood
INDOFLOODS-gauge-361-197,09-09-2013,14-09-2013,583.23,10-09-2013,1,173.89,10-09-2013,740.81,6,2,5,Severe Flood
INDOFLOODS-gauge-361-198,21-10-2013,22-10-2013,582.7,21-10-2013,1,91.13,21-10-2013,163.2,2,1,2,Severe Flood
INDOFLOODS-gauge-361-199,24-10-2013,25-10-2013,582.79,25-10-2013,1,93.53,25-10-2013,164.8,2,2,1,Severe Flood
INDOFLOODS-gauge-361-200,05-11-2013,05-11-2013,582.66,05-11-2013,1,90.44,05-11-2013,90.44,1,1,1,Severe Flood
INDOFLOODS-gauge-361-201,25-11-2013,26-11-2013,582.96,25-11-2013,1,58.01,25-11-2013,106.04,2,1,2,Severe Flood
INDOFLOODS-gauge-361-202,04-06-2014,04-06-2014,582.49,04-06-2014,1,59.66,04-06-2014,59.66,1,1,1,Flood
INDOFLOODS-gauge-361-203,24-09-2014,01-10-2014,583.57,25-09-2014,1,186.7,25-09-2014,859.9,8,2,7,Severe Flood
INDOFLOODS-gauge-361-204,06-10-2014,07-10-2014,582.56,06-10-2014,1,77.08,06-10-2014,143.06,2,1,2,Severe Flood
INDOFLOODS-gauge-361-205,10-10-2014,11-10-2014,582.55,10-10-2014,1,76.82,10-10-2014,130.78,2,1,2,Severe Flood
INDOFLOODS-gauge-361-206,20-10-2014,21-10-2014,582.52,20-10-2014,1,73.47,20-10-2014,145.08,2,1,2,Severe Flood
INDOFLOODS-gauge-361-207,25-10-2014,28-10-2014,582.83,28-10-2014,1,100.5,28-10-2014,309.2,4,4,1,Severe Flood
INDOFLOODS-gauge-361-208,12-12-2014,12-12-2014,582.45,12-12-2014,1,49.22,12-12-2014,49.22,1,1,1,Flood
INDOFLOODS-gauge-361-209,16-12-2014,16-12-2014,582.85,16-12-2014,1,65.35,16-12-2014,65.35,1,1,1,Severe Flood
INDOFLOODS-gauge-361-210,20-05-2015,20-05-2015,582.7,20-05-2015,1,86.36,20-05-2015,86.36,1,1,1,Severe Flood
INDOFLOODS-gauge-361-211,08-09-2015,08-09-2015,582.67,08-09-2015,1,73.67,08-09-2015,73.67,1,1,1,Severe Flood
INDOFLOODS-gauge-361-212,06-10-2015,07-10-2015,583.75,06-10-2015,1,222.35,06-10-2015,320.78,2,1,2,Severe Flood
INDOFLOODS-gauge-361-213,13-10-2015,14-10-2015,583.02,13-10-2015,1,142.03,13-10-2015,218.73,2,1,2,Severe Flood
INDOFLOODS-gauge-361-214,02-11-2015,07-11-2015,585.22,05-11-2015,1,449.2,05-11-2015,1191.05,6,4,3,Severe Flood
INDOFLOODS-gauge-361-215,11-11-2015,12-11-2015,582.93,11-11-2015,1,110.9,11-11-2015,152.65,2,1,2,Severe Flood
INDOFLOODS-gauge-361-216,06-10-2017,08-10-2017,583.16,06-10-2017,1,137.66,06-10-2017,330.58,3,1,3,Severe Flood
INDOFLOODS-gauge-361-217,12-10-2017,12-10-2017,582.45,12-10-2017,1,58.15,12-10-2017,58.15,1,1,1,Flood
INDOFLOODS-gauge-361-218,16-10-2017,18-10-2017,582.75,16-10-2017,1,93.83,16-10-2017,182.23,3,1,3,Severe Flood
INDOFLOODS-gauge-361-219,25-11-2017,02-12-2017,583.11,25-11-2017,8,68.73,25-11-2017,549.84,8,1,8,Severe Flood
INDOFLOODS-gauge-363-1,16-08-1990,16-08-1990,400.33,16-08-1990,1,2800,16-08-1990,2800,1,1,1,Severe Flood
INDOFLOODS-gauge-363-2,22-09-1998,22-09-1998,397.45,22-09-1998,1,1668,22-09-1998,1668,1,1,1,Flood
INDOFLOODS-gauge-363-3,14-10-1998,16-10-1998,398.27,15-10-1998,1,2215,15-10-1998,6302,3,2,2,Severe Flood
INDOFLOODS-gauge-363-4,10-08-2008,10-08-2008,397.45,10-08-2008,1,1498.65,10-08-2008,1498.65,1,1,1,Flood
INDOFLOODS-gauge-363-5,26-08-2009,26-08-2009,397.25,26-08-2009,1,1166.04,26-08-2009,1166.04,1,1,1,Flood
INDOFLOODS-gauge-363-6,03-09-2009,03-09-2009,397.5,03-09-2009,1,1253.75,03-09-2009,1253.75,1,1,1,Flood
INDOFLOODS-gauge-363-7,01-10-2009,01-10-2009,397.13,01-10-2009,1,1151.05,01-10-2009,1151.05,1,1,1,Flood
INDOFLOODS-gauge-363-8,03-10-2009,03-10-2009,397.38,03-10-2009,1,1218.75,03-10-2009,1218.75,1,1,1,Flood
INDOFLOODS-gauge-363-9,26-08-2010,26-08-2010,397.58,26-08-2010,1,1268.79,26-08-2010,1268.79,1,1,1,Flood
INDOFLOODS-gauge-363-10,18-09-2010,18-09-2010,397.44,18-09-2010,1,1207.46,18-09-2010,1207.46,1,1,1,Flood
INDOFLOODS-gauge-363-11,31-07-2011,31-07-2011,397.2,31-07-2011,1,1500,31-07-2011,1500,1,1,1,Flood
INDOFLOODS-gauge-363-12,20-09-2013,20-09-2013,397.4,20-09-2013,1,1187.59,20-09-2013,1187.59,1,1,1,Flood
INDOFLOODS-gauge-363-13,01-09-2014,01-09-2014,397.72,01-09-2014,1,1319.76,01-09-2014,1319.76,1,1,1,Flood
INDOFLOODS-gauge-363-14,21-07-2016,21-07-2016,397.66,21-07-2016,1,1383.61,21-07-2016,1383.61,1,1,1,Flood
INDOFLOODS-gauge-363-15,15-09-2016,15-09-2016,397.4,15-09-2016,1,1304.93,15-09-2016,1304.93,1,1,1,Flood
INDOFLOODS-gauge-363-16,23-09-2016,25-09-2016,400.65,24-09-2016,2,2611.2,24-09-2016,7192.5,3,2,2,Severe Flood
INDOFLOODS-gauge-364-1,23-06-1971,25-06-1971,9.11,24-06-1971,1,4558.4,24-06-1971,10243.6,3,2,2,Severe Flood
INDOFLOODS-gauge-364-2,27-06-1971,27-06-1971,7.26,27-06-1971,1,2590,27-06-1971,2590,1,1,1,Flood
INDOFLOODS-gauge-364-3,29-06-1971,29-06-1971,7.17,29-06-1971,1,2530,29-06-1971,2530,1,1,1,Flood
INDOFLOODS-gauge-364-4,20-07-1971,23-07-1971,8.78,22-07-1971,1,3556,22-07-1971,13208.9,4,3,2,Flood
INDOFLOODS-gauge-364-5,25-07-1971,25-07-1971,7.17,25-07-1971,1,2476.8,25-07-1971,2476.8,1,1,1,Flood
