EventID,Start Date,End Date,Peak Flood Level (m),Peak FL Date,Num Peak FL,Peak Discharge Q (cumec),Peak Discharge Date,Flood Volume (cumec),Event Duration (days),Time to Peak (days),Recession Time (day),Flood Type
INDOFLOODS-gauge-1050-24,19-08-2015,24-08-2015,35.52,22-08-2015,1,,,,6,4,3,Severe Flood
INDOFLOODS-gauge-1050-25,31-08-2015,04-09-2015,35.58,03-09-2015,1,,,,5,4,2,Severe Flood
INDOFLOODS-gauge-1050-26,23-06-2016,27-06-2016,35.24,25-06-2016,1,,,,5,3,3,Flood
INDOFLOODS-gauge-1050-27,22-07-2016,28-07-2016,35.48,24-07-2016,1,,,,7,3,5,Severe Flood
INDOFLOODS-gauge-1050-28,10-07-2017,12-07-2017,35.09,11-07-2017,1,,,,3,2,2,Flood
INDOFLOODS-gauge-1050-29,10-08-2017,17-08-2017,36.69,13-08-2017,1,,,,8,4,5,Severe Flood
INDOFLOODS-gauge-1050-30,01-10-2017,01-10-2017,34.3,01-10-2017,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1050-31,02-07-2018,02-07-2018,34.55,02-07-2018,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1050-32,04-07-2018,06-07-2018,35.8,05-07-2018,1,,,,3,2,2,Severe Flood
INDOFLOODS-gauge-1050-33,15-09-2018,16-09-2018,34.54,15-09-2018,1,,,,2,1,2,Flood
INDOFLOODS-gauge-1050-34,26-06-2020,30-06-2020,35.35,28-06-2020,1,,,,5,3,3,Severe Flood
INDOFLOODS-gauge-1050-35,03-07-2020,05-07-2020,35.2,03-07-2020,1,,,,3,1,3,Flood
INDOFLOODS-gauge-1050-36,11-07-2020,16-07-2020,35.92,13-07-2020,1,,,,6,3,4,Severe Flood
INDOFLOODS-gauge-1050-37,18-07-2020,20-07-2020,35.25,19-07-2020,1,,,,3,2,2,Flood
INDOFLOODS-gauge-1050-38,22-07-2020,23-07-2020,35.05,22-07-2020,1,,,,2,1,2,Flood
INDOFLOODS-gauge-1050-39,31-07-2020,02-08-2020,34.99,01-08-2020,1,,,,3,2,2,Flood
INDOFLOODS-gauge-1050-40,15-09-2020,19-09-2020,35.73,16-09-2020,1,,,,5,2,4,Severe Flood
INDOFLOODS-gauge-1050-41,24-09-2020,28-09-2020,35.05,28-09-2020,1,,,,5,5,1,Flood
INDOFLOODS-gauge-1056-1,26-10-2010,26-10-2010,15.182,26-10-2010,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1056-2,30-06-2011,30-06-2011,13.15,30-06-2011,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1056-3,09-08-2011,22-08-2011,14.36,13-08-2011,1,,,,14,5,10,Severe Flood
INDOFLOODS-gauge-1056-4,21-06-2012,21-06-2012,15.99,21-06-2012,1,,,,1,1,1,Severe Flood
